categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Biscuits|Chabrior|Biscuits Fourrés au Cacao|d|Farine de _blé_ 50% AB,  sucre de canne roux AB, huile de tournesol oléique AB, poudre de cacao maigre AB 6%, poudre de _lait_ écrémé AB, beurre de cacao AB, _œufs_ entiers AB, beurre AB dont _lait_), sel de mer, poudres à lever : carbonates d’ammonium, carbonates de sodium, épaississant : gomme d’acacia AB, émulsifiant : lécithines,  amidon de _blé_ AB.|1979|19.2|29.5|3.4|8.6|0.5|||||||||||||||||0|blé, lait, œufs, lait, blé|E322 - Lécithines,E414 - Gomme d'acacia,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Chabrior|Galets sablés à la noix de coco|e|Farine de _blé_ 54 %, sucre, matière grasse végétale, noix de coco 8 %, sirop de sucre inverti, _lait_ écrémé en poudre, poudres à lever : carbonates d'ammonium - carbonates de sodium, phosphates de calcium, lactoseet protéines de _lait_, sel, arôme.|2039|21.1|25.6||6.6|0.59944|||||||||||||||||1|blé, lait, lait, lait|E341 - Phosphates de calcium,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Chabrior|P'tits biscuits choco|e|farine de blé 40 %, chocolat au lait 26.2 %, arôme naturel),, sucre, graisses végétales, lait entier en poudre 4.2 %, sirop de glucose, huile de tournesol, lait écrémé en poudre 1.2 %, lactose*, sel, poudres à lever, émulsifiant : lécithines, arômes. *dont lait. Traces éventuelles dl?Ufs et de fruits à coque. INFORMATIONS : à conserver à l'abri de la chaleur et de l'humidité.|2105|24.8|32.7|0|6.7|0.5|||||||||||||||||1|beurre, lactose*|E322 - Lécithines,E476 - Esters polyglycériques d'acides gras d'huile de ricin,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Chabrior|Fines Gaufrettes aux framboises|d|Fourrage aux framboises 64.6%: sirop de glucose-fructose de blé, purée et purée concentrée de framboises, stabilisant : glycérol, arômes, colorant : anthocyanes, gelifiant: pectines, correcteur d'acidité: citrates de sodium, acidifiant: acide citrique. Biscuit 35.4% : farine de blé 32.5%, dextrose de blé, farine de lupin, jaunes d'ceufs en poudre, sel, huile vegétale, émulsifiant: lécithines, poudres à lever: carbonates de sodium et carbonates de magnésium. e à coque|1561|1|34.1||4|0.4|||||||||||||||||0|en:gluten|E163 - Anthocyanes,E322 - Lécithines,E330 - Acide citrique,E331 - Citrates de sodium,E422 - Glycérol,E440 - Pectines,E500 - Carbonates de sodium,E504 - Carbonates de magnésium|
Biscuits|Chabrior|Sablés céréales chocolat noir|d|Céréales 48%/ chocolat noir 29%/ arôme), sucre, huile végétale, poudres à lever : carbonates d'ammonium - carbonates de sodium - phosphates de calcium, arôme, émulsifiant : mono - et diglycérides dlacides gras, poudre de lait écrémé, sel, antioxydant : extrait de romarin. * dont lait. Traces éventuelles dlautres céréales contenant du gluten, oeufs, soja, arachide et fruits à coque.|2020|22.1|30|7.14|8.1|0.643|||||||||||||||||0||E322 - Lécithines,E341 - Phosphates de calcium,E392 - Extrait de romarin,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Chabrior|Petit Lait|e|Farine de blé 69 %, sucre, matière grasse végétale, lait entier en poudre, carbonate acide de sodium, carbonate acide d'ammonium, diphosphate disodique, sirop de glucose, sirop de sucre inverti, arôme, sel, poudre de lait écrémé.|1857|12.1|19.6|1.9|8.2|1.397|||||||||||||||||1||E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Biscuits|Chabrior Bio,Chabrior,Intermarché|Petit Beurre avec Tablette de Chocolat Noir Bio|d|Chocolat noir 48 %, farine de _blé_ 35%, _beurre_ 9%, sucre de canne, sirop de blé, amidon de _blé_, poudres à lever : carbonate acide d'ammonium, carbonate acide de sodium, sel, poudre de _lait_ écrémé, acidifiant : acide citrique|2134|26.1|26.7|4.7|7.3|0.4|||||||||||||||||0|en:gluten,en:milk|E330 - Acide citrique,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Biscuits|Chabrior,Chabrior Bio|Biscuits Sésame Bio|c|farine de blé** 46%, sucre roux de canne**, farine complète de blé** 15% , graines de sésame** 13%, huile de tournesol**, sel marin, poudres à lever: carbonates d'ammonium - carbonates de sodium, extrait de vanille**, poudre de lait écrémé** *Certains ingrédients ne sont pas français.  **Ingrédients issus de l'Agriculture Biologique. Traces éventuelles d'autres céréales contenant du gluten, ceufs, arachides, soja et fruits à coque.|2021|20.5|20.6|4.6|9.3|0.52|||||||||||||||||0|en:gluten,en:sesame-seeds|E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Chabrior,Intermarché|Sablé Éclat de Meringue et Fourrage Citron|d|Farine de _blé_ 34 %, purée de pommes, sucre, huile végétale, sirop de glucose-fructose de blé, purée concentrée de citron, éclats de meringue 5 %, sirop de glucose de blé, humectant : glycérol, _beurre_ concentré, poudre de _lait_ entier, jaune d'_œufs_ sucré, _œufs_ frais, _beurre_, acidifiant : acide citrique, arôme naturel de citron et arôme naturel, correcteur d'acidité : citrates de sodium, poudres à lever: carbonates d'ammonium, sel.|1795|13.5|32.6|3.5|4.7|0.25|||||||||||||||||0||E330 - Acide citrique,E331 - Citrates de sodium,E422 - Glycérol,E503 - Carbonates d'ammonium|
Biscuits|Chabrior,Intermarché|Les Créations - Les Florentins|e|Chocolat au lait 30%, arôme), amandes blanchies efﬁlées 17.5%, sucre, sirop de glucose de maïs déshydraté, pâte de _noisettes_ 6.5%, noisettes efﬁlées 6%, dextrose de maïs, sirop de glucose-fructose de _blé_, écorce de citron 2.5%, _beurre_ concentré 2%, écorces d'orange 1%, sirop de sucre inverti, blanc d’_œuf_ en poudre, _lait_ écrémé en poudre, acidiﬁant : acide citrique.|2238|31.9|44.1||8.9|0.1|||||||||||||||||0|lait, soja, noisettes, blé, beurre, lait, œuf, lait|E322 - Lécithines,E330 - Acide citrique|
Biscuits|Chabrior,Intermarché|Twisty|e|Chocolat au _lait_ 49 %*- polyricinoléate de polyglycérol, arôme), farine de _blé_ 44.2%*, sucre, graisse végétale, _lactose_ et protéines de _lait_, amidon de riz, sel, poudres à lever : carbonates d'ammonium, levure, correcteur d'acidité : hydroxyde de sodium.* % exprimés sur l'ensemble du produit.|2008|20|34.6||8.4|0.499999999999999|||||||||||||||||1|lait, lait, lactose, laitière, soja, blé, lactose, lait|E322 - Lécithines,E476 - Esters polyglycériques d'acides gras d'huile de ricin,E503 - Carbonates d'ammonium,E524 - Hydroxyde de sodium|
Biscuits|Chabrior,Les Mousquetaires,Intermarché|Tableau d'Honneur Choco Caramel|e|Chocolat au lait 40%, matière grasse de _lait_, émulsifiant : lécithines, arôme), farine de _blé_, fourrage caramel 22.5%, _lait_ concentré sucré, eau, arômes, sel, émulsifiant : esters citriques des mono- et diglycérides d'acides gras), sucre, matière grasse végétale, sirop de glucose de blé, amidon de _blé_, poudres à lever : carbonates de sodium - carbonates d'ammonium, sel, lactoseet protéines de _lait_, acidifiant : acide citrique.|2028|22.3|42||5.4|0.65|||||||||||||||||1|lait, lait, lait, blé, lait, blé, lait, lait|E322 - Lécithines,E330 - Acide citrique,E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Comptoir des Flandres|Palets de dame|e|Sucre, farine de _blé_, _beurre_, _oeufs_ entiers, sirop de glucose, pulpe d'abricot, poudres à lever : diphosphates, carbonates de sodium, rhum, gélifiant : pectine, arôme abricot, sel.|1869|16.8|53||4|0.2|||||||||||||||||0|blé, beurre, oeufs|E440 - Pectines,E440i - Pectine,E450 - Sels métalliques de diphosphates,E500 - Carbonates de sodium|
Biscuits|Cora|Petit Beurre Chocolat Noir |e|Chocolat noir 48%, farine de _blé_, sucre, _beurre_ pâtissier 6.4%, _lait_ écrémé en poudre, poudres à lever : carbonates d'ammonium, carbonates de sodium, diphosphates, sel.|2052|23.1|35.5|3.9|6.4|0.63|||||||||||||||||0|lactose, lait, lait, blé, beurre, lait|E322 - Lécithines,E450 - Sels métalliques de diphosphates,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Cora|Goûters fourrés parfum chocolat|d|Farine de céréales 52.6%- sucre - matières grasses végétales- sirop de glucose - cacao maigre en poudre 4.8% - poudres à lever : carbonates d'ammonium, carbonates de sodium, phosphates de calcium - amidon de _blé_ - sel - arômes - _lait_ écrémé en poudre - protéines de _lait_ en poudre.|1989|16.5|31.5|3.2|6.6|0.58|||||||||||||||||1|blé, seigle, blé, lait, lait|E341 - Phosphates de calcium,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Cora|Goûters fourrés parfum Fraise|d|Farines de céréales 52%- fourrage à la fraise 30%- sucre - matière grasse végétale- sirop de glucose - poudres à lever : carbonates d'ammonium, carbonates de sodium, phosphates de calcium - _lait_ écrémé en poudre - sel - protéines de _lait_.|1664|6.2|33|1.9|5.5|0.55|||||||||||||||||1|blé, seigle, lait, lait|E120 - Acide carminique,E330 - Acide citrique,E331 - Citrates de sodium,E341 - Phosphates de calcium,E422 - Glycérol,E440 - Pectines,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Croc Pomme|Gaufrettes Pomme & Cannelle Bio|d|Farine de _blé_*, jus de pomme concentré* 8 %, poudre de pomme* 7 %, huile de tournesol oléique_, lécithine de colza, cannelle*. * issus de l'agriculture biologique.|1858|16|20||6.9|0.1|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine|
Biscuits|Crousty Breizh'|Crousty' Nette à la Cannelle|e|Farine de _froment_, _lait_, _œuf_, beurre, sucre, cannelle cassia épices Corlou, huile de tournesol.|2481|38.9|23.52||8.1|0.72|||||||||||||||||0|en:eggs,en:gluten,en:milk||
Biscuits|Céréal Bio|Croc' Graines Sésame & Tournesol Chocolat|e|farine de blé 38.6%, chocolat noir 23.3%, sucre de canne roux, beurre,  huile de tournesol, graines de tournesol 4.8%, graines de sésame 4.8%,oeufs, sel de mer, poudre à lever, antioxydant : extrait de romarin.|2171|29|23|4|7.4|0.8|||||||||||||||||0|en:eggs,en:gluten,en:milk,en:sesame-seeds|E392 - Extrait de romarin,E500 - Carbonates de sodium|
Biscuits|Céréal Bio|Croc Graines sésame et tournesol|d|Farine de blé 50.4%, sucre de canne roux, beurre, huile de tournesol, graines de tournesol 6.3%, graines de sésame 6.3%, œufs, sel de mer, poudres à lever, antioxydant : extraits de romarin.|2163|27|20|3.2|7.9|0.94|||||||||||||||||0|blé, beurre, sésame, œufs|E330 - Acide citrique,E392 - Extrait de romarin,E500 - Carbonates de sodium|
Biscuits|Céréal Bio|Les Petits Déj' Croustillants Amaranthe et Chocolat|c|Farine intégrale de meule de _blé_ 30%, farine de _blé_ 18%, sucre de canne roux, huile de tournesol oléique, flocons d'amaranthe 5.8%, flocons d'_avoine_ complète 5.5%, pépites de chocolat 5%, riz, poudre de cacao maigre, poudres à lever, _avoine_, sel marin, sucre de canne, émulsifiant : lécithines de colza, sirop de malt d'_orge_, arôme naturel.|1883|17|21|8.9|8.5|0.6|||||||||||||||||0|blé, blé, avoine, avoine, orge|E322 - Lécithines,E336 - Tartrates de potassium,E500 - Carbonates de sodium|
Biscuits|Céréal bio|Sablés bio chocolat noir intense|d|Farine complète de blé de meule 20.9% , pépites de chocolat* 16.7%, farine de blé*, sucre de canne roux*, huile de tournesol oléique*, flocons d'avoine complète 8.4%, riz, cacao maigre en poudre 2.8%, arôme naturel, amidon de blé*, émulsifiant : lécithines de tournesol, avoine*, sel de mer, poudres à lever, sucre de canne*, sirop de malt d'orge*. *Ingrédients issus de l'agriculture biologique. Fabriqué dans un atelier qui utilise des fruits à coque, du soja, de l'oeuf, du lait et du lupin.|1996|21|27|5.8|7|0.52|||||||||||||||||0|en:gluten,en:eggs,en:lupin,en:milk,en:nuts,en:soybeans|E322 - Lécithines,E336 - Tartrates de potassium,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|DELAUNAY LEVEILLE|p'tit coffret garni de biscuits fins pur beurre les violettes de Toulouse|e|Farine de BLE, sucre, BEURRE pâtissier24%, OEUF entier frais, jaunes d'OEUF, sel, colorant carotènoides, sirop de glucose|2159|26|31||5.7|0.8|||||||||||||||||0||E160 - Caroténoïdes|
Biscuits|DV S.A.S.|Craquant à la Figue|d|Sucre, _amandes_, farine de _blé_, blanc d'_œuf_, figues 7 %.|1785|12|60|4.4|7.9|0.08|||||||||||||||||0|amandes, blé, œuf||
Biscuits|DV S.A.S.|Craquant à la Pomme|d|Sucre, _amande_, pomme 18 %, farine de _blé_, blanc d'_œuf_.|1894|13|56|3.3|8.1|0.05|||||||||||||||||0|amande, blé, œuf|E14XX - Amidons modifiés,E330 - Acide citrique|
Biscuits|DV S.A.S.|Craquant à la Myrtille|d|Sucre, _amandes_, farine de _blé_, blanc d'_œuf_, myrtilles 5 %, arôme naturel myrtille 0.5 %.|1917|15|61|3.8|9.3|0.06|||||||||||||||||0|amandes, blé, œuf||
Biscuits|DV S.A.S.|La tour eiffel|e|Galettes : farine de _blé_, sucre, _beurre_ pâtissier 20 %, _œufs_, sel, poudres à lever : carbonate d'ammonium, carbonate de sodium, diphosphate, malt, blancs d'_œufs_, poudre de _lait_ écrémé, stabilisant : sorbitol, colorants : E150c, E160a, épaississant : gomme arabique. Palets : farine de _blé_, _beurre_ pâtissier 27 %, sucre, _œufs_, blancs d'_œufs_, sel, poudres à lever : diphosphate, carbonate de sodium, malt, colorant E160a.|2092|23|25||5.9|1.1|||||||||||||||||0|blé, beurre, œufs, orge, œufs, lait, blé, beurre, œufs, œufs, orge, blé, beurre, œufs, orge, œufs, lait, blé, beurre, œufs, œufs, orge, malt, malt|E150c - Caramel ammoniacal,E160a - Bêta-carotène,E414 - Gomme d'acacia,E420 - Sorbitol,E420i - Sorbitol,E450 - Sels métalliques de diphosphates,E500 - Carbonates de sodium,E500i - Carbonate de sodium,E503 - Carbonates d'ammonium,E503i - Carbonate d'ammonium|
Biscuits|DV SAS|Galettes Beurre à la Fleur de Sel|e|Farine de _blé_, sucre, _beurre_ concentré : 22 %, _œufs_ entiers, fleur de sel 0.55 %, caramel, poudres à lever.|2042|19|28|1|4.7|1|||||||||||||||||0|blé, beurre, œufs|E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Biscuits|DV SAS|Grands Sablés|e|Farine de _blé_, sucre, _beurre_ concentré 22 %, _œufs_ entiers, fleur de sel, caramel, poudre à lever.|2051|19|28||5|1|||||||||||||||||0|en:eggs,en:gluten,en:milk|E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Biscuits|DV SAS|Sablés Pur beurre Caramel au beurre salé|e|Farine de _blé_, _beurre_ 27 %, sucre, caramel au beurre salé 5 %, jaune d'_oeufs_ en poudre, sel marin, arôme naturel, _oeufs_ entiers en poudre, poudre de _lait_ écrémé.|2134|25|30|1.5|5.5|0.770000000000001|||||||||||||||||0|blé, beurre, beurre, lait, crème, oeufs, oeufs, lait||
Biscuits|DV SAS|Galettes Carte de France Natures|e|Farine de _froment_, sucre, _beurre_, _lait_ entier en poudre, _œuf_, jaune d'_œufs_ en poudre, sel, arôme naturel de vanille.|2059|20|24||7.1|0.3|||||||||||||||||0|Œufs,Gluten,Lait, froment, beurre, lait, œuf, œufs||
Biscuits|Delaunay Leveillé|biscuits pur beurre de savoie|e|Farine de FROMENT, BEURRE frais de Savoie 25 %, sucre, pépites de chocolat 15 %, ŒUF, poudre de LAIT, sel de Guérande IGP, poudre à lever.|2084|25.1|31.1||6.2|0.7|||||||||||||||||0|FROMENT, BEURRE, ŒUF, LAIT|E322 - Lécithines,E322i - Lécithine,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium|
Biscuits|Dia|Goûter Fourré chocolat Bio|d|Farine de blé, sucre de canne roux, matières grasses végétales, lait écrémé en poudre, cacao en poudre 6.1%, pourrais à lever : carbonate acide d'ammonium, carbonate acide de sodium, acide citrique, sel marin non raffiné, arôme naturel.|1910|16.4|26.8|4.4|9.6|0.508|||||||||||||||||1||E330 - Acide citrique,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Biscuits|Dia|Gaufrettes fourrées et enrobées de chocolat|e|chocolat 38% [sucre, pâte de cacao, beurre de cacao, _lait_ écrémé en poudre, matière grasse _laitière_, émulsifiant), arôme], farine de _blé_, matière grasse végétale de coprah totalement hydrogénée, sucre, cacao maigre en poudre, _lait_ écrémé en poudre, dextrose, farine de _lupin_, jaune d’_œuf_ en poudre, sel, huile de tournesol, émulsifiant, poudres à lever.|2240|31|37||7|0.2|||||||||||||||||0|lait, laitière, soja, blé, lait, lupin, œuf|E322 - Lécithines,E322i - Lécithine,E500 - Carbonates de sodium,E500i - Carbonate de sodium|
Biscuits|Dietplus|Biscuits diététiques saveur beurre|c|Farine de _blé_, matières grasses, huile de colza, émulsifiant : mono- et diglycérides d'acides gras), édulcorants : maltitol, sucralose, protéines de _lait_, fibres solubles de _blé_, sucre, gluten de _blé_, protéines de pois, glycine, arômes, émulsifiants : lécithine de _soja_, sucroester d'acides gras, minéraux de _lait_, poudre de noix de coco, sel, poudres à lever : bicarbonate de sodium, d'ammonium, pyrophosphate acide de sodium, bicarbonate d'ammonium.|1845|17|7.5|6.8|21|0.8|||||||||||||||||0|blé, beurre, lait, blé, blé, soja, lait|E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E471 - Mono- et diglycérides d'acides gras alimentaires,E473 - Sucroester,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E640 - Glycines,E640i - Glycine,E955 - Sucralose,E965 - Maltitol,E965i - Maltitol|
Biscuits|Dietplus|Biscuits diététiques|c|Farine de _blé_ ; Sucre ; Matière grasse végétale; Protéines de _lait_ ; édulcorants : maltitol, sucralose ; Poudre de cacao maigre ; Fibres solubles de _blé_ ; _Gluten de blé_ ; Protéines de pois ; Glycine ; émulsifiants : lécithine de _soja_, sucroester d'acides gras ; Arômes ; Minéraux du _lait_ ; Poudre de noix de coco ; Sel ; Poudres à lever : bicarbonate de sodium, pyrophosphate acide de sodium, bicarbonate d'ammonium.|1736|14|14|8.3|21|0.8|||||||||||||||||0|blé, lait, blé, Gluten de blé, soja, lait|E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E471 - Mono- et diglycérides d'acides gras alimentaires,E473 - Sucroester,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E640 - Glycines,E640i - Glycine,E955 - Sucralose,E965 - Maltitol,E965i - Maltitol|
Biscuits|Disney|Sablés Pur Beurre|e|Farine de _blé_, sucre, beurre 20 %. jaune d‘_œuf_, en poudre, poudre de _LAIT_ entier,  sel, poudre à lever : carbonates d'ammonium.|1983|18|24||7|0.450000000000001|||||||||||||||||0|blé, LAIT, œuf, LAIT, LAIT, LAIT|E503 - Carbonates d'ammonium|
Biscuits|Doucelune|Gaufrettes framboises|d|Fourrage aux framboises 64.4 % : sirop de glucose-fructose, purée et purée concentrée de framboises, stabilisant : glycérol, arômes, colorant : anthocyanes, gélifiant : pectines, correcteur d'acidité : citrates de sodium, acidifiant : acide citrique. Biscuit : farine de _blé_, dextrose, farine de _lupin_, jaune d'_oeufs_ en poudre, sel, huile végétale, émulsifiant : lécithines, poudres à lever : carbonates de sodium, carbonates de magnésium.|1527|1|36||4|0.38|||||||||||||||||0|en:eggs,en:gluten,en:lupin|E163 - Anthocyanes,E322 - Lécithines,E330 - Acide citrique,E331 - Citrates de sodium,E422 - Glycérol,E440 - Pectines,E500 - Carbonates de sodium,E504 - Carbonates de magnésium|
Biscuits|Dukan|Mini sablé au pepite de chocolat|a|Mini Sablés aux pépites de chocolat, avec édulcorants son d'avoine, œufs frais, huile de colza, fibres d'acacia, édulcorant : maltitol, gluten de blé, farine de lupin, poudre à lever, Traces. édulcorant sel, succalose, éventuelles de : fruits à coque, lait.|1393|15|1|38|20|0.28|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E955 - Sucralose,E965 - Maltitol,E965i - Maltitol|
Biscuits|Désiré Delfour|Le palet|e|Farine de froment, sucre, beurre concentré reconstitué 19%, œufs entiers, sel, glucose, poudre levante, anti-oxygène : acide ascorbique.|1992|20|27|0|5.4|1.2|||||||||||||||||0|en:eggs,en:gluten,en:milk|E300 - Acide ascorbique|
Biscuits|Ecu|Sablés Géants au Beurre|e|Farine de _froment_, sucre, _beurre_ concentré : 22 %, _œufs_ entiers, sel, caramel, poudre à lever.|2042|19|28||5|1|||||||||||||||||0|froment, beurre, beurre, œufs|E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Biscuits|Euro Disney France|Sablés Pur Beurre|e|Farine de _blé_, sucre, _beurre_ 20%, jaune d'_œuf_ en poudre, poudre de _lait_ entier, sel, poudre à lever : carbonates d’ammonium.|1983|18|24|0|7|0.450000000000001|||||||||||||||||0|blé, beurre, œuf, lait, LAIT|E503 - Carbonates d'ammonium|
Biscuits|Evernat|Happy Choc'lait|e|Céréales, farine d’_avoine_), chocolat au _lait_, sucre de canne roux non raffiné, huile de palme non hydrogénée, huile de tournesol non hydrogénée, poudre à lever : carbonate acide de sodium|2092|24|27|4|7.5|0.5|||||||||||||||||1|blé, blé, avoine, lait, lait|E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Biscuits|Fauchon|Les biscuits|e|farine de blé, sucre, beurre frais de baratte16%, chocolat au lait12.5%, chocolat blanc1.5%, fruits des bois en poudre1.3%, jaunes d'oeufs, arômes naturels, sel de Guérande, poudre à lever : diphosphate disodique, carbonate acide de sodium, extrait de vanille naturelle de Madagascar, colorant : carmin.|2125|25|25|3.6|7.1|0.9906|||||||||||||||||0||E120 - Acide carminique,E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Biscuits|Filet Bleu,Biscuits Filet Bleu|Galet de Quimper|e|Farine de _blé_, beurre frais 30 %, sucre, _œufs_, _lactose_ et protéines de _lait_, fibres d'acacia, sel poudres à lever : diphosphate disodique - carbonate acide de sodium.|2222|29.6|24.2||5.8|0.8|||||||||||||||||0|Œufs,Gluten,Lait, blé, œufs, lactose, lait|E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Biscuits|Flore Cocardon|Sablés Pur Beurre|e|Farine de BLÉ Label Rouge d'île de France, BEURRE de baratte extra fin AOP Charentes-Poitou 28 %, sucre glace, ŒUFS, poudre de LAIT entier, amidon de mais, sel, poudre à lever, arôme.|2063|23.6|29||5.4|0.7|||||||||||||||||0|BLÉ, BEURRE, ŒUFS, LAIT|E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500i - Carbonate de sodium|
Biscuits|Fortwenger|P'tit Bonhomme en Pain d'Épices|d|Farine de _froment_, sirop de sucre inverti, 13.3 % chocolat noir, sucre, humectant : sorbitols ; _beurre_, miel, 2.65 % préparation de clémentine et orange), poudres à lever: carbonates d'ammonium, carbonates de sodium ; épices, arôme orange.|1720|10.8|28.8||6.8|0.2|||||||||||||||||0|en:gluten,en:milk,en:soybeans,en:sulphur-dioxide-and-sulphites|E202 - Sorbate de potassium,E220 - Anhydride sulfureux,E322 - Lécithines,E322i - Lécithine,E330 - Acide citrique,E420 - Sorbitol,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Fossier|Charles VII craquant chocolat noir 54%|e|Farine de _blé_, chocolat noir 17%, sucre, _beurre_ concentré, _oeufs_, dextrose, sel, poudres à lever, arôme.|1976|19|29|3|7.6|0.69|||||||||||||||||0|blé, soja, beurre, oeufs|E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Biscuits|Fossier|Le Rémois Tout Chocolat avec Pépites|d|Farine de _blé_, pépites de chocolat, sucre, matière grasse végétale, poudres à lever, poudre de cacao maigre alcalinisé, sel, fécule de pomme de terre, dextrose, _lait_ écrémé en poudre, arôme, agent de traitement de la farine.|1803|13|28|3.4|7.9|0.859999999999999|||||||||||||||||0|blé, soja, soja, lait, disulfite|E223 - Disulfite de sodium,E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E471 - Mono- et diglycérides d'acides gras alimentaires,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Biscuits|Fossier,Maison Fossier|Charles VII Fondant Chocolat au Lait|e|Farine de _blé_, chocolat au lait 28%, sucre, _beurre_ concentré, _œufs_, dextrose, sel, poudres à lever, arôme.|2029|21|31|1.5|8.3|0.56|||||||||||||||||0|blé, lait, soja, beurre, œufs|E322 - Lécithines,E322i - Lécithine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Biscuits|Franprix|Biscuits tablette chocolat au lait bio|e|Chocolat au _lait_ 48%, farine de _blé_, sucre de canne, matière grasse végétale : huile de tournesol, _lait_ écrémé en poudre, poudres à lever, sel marin non raffiné, arôme naturel.|2189|27.2|35||7|0.68|||||||||||||||||0|lait, lait, blé, lait|E336 - Tartrates de potassium,E336i - Tartrate monopotassique,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Franprix|Le Grand petit beurre|e|Farine de _blé_ 71%, sucre, _beurre_ concentré 12.8%, _lait_ entier en poudre, poudres à lever : carbonates d'ammonium, carbonates de sodium, diphosphates, blancs et jaunes d'_oeufs_ en poudre, sel, _lait_ demi-écrémé, arôme.|1892|14|22||7.8|0.77|||||||||||||||||0|blé, beurre, beurre, lait, oeufs, lait|E450 - Sels métalliques de diphosphates,E500 - Carbonates de sodium,E503 - Carbonates d'ammonium|
Biscuits|Gascon Gourmand|Noisillou|d|Sucre, blanc d'_œufs_ frais, farine de _froment_, _noisettes_ 15 %.|1979|16|58||7.3|0.08|||||||||||||||||0|||
Biscuits|Gascon Gourmand|Gaufres|d|Farine de _blé_, sucre, jaune d'_œufs_, huile d'_arachide_, sel, arôme : vanille artificielle.|1813|7.8|35.1||7.8|0.5|||||||||||||||||0|blé, œufs, arachide||
